RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishRoundTimeSecs,TotalFightDurationSecs,RedWin,BlueWin,RedWinPercentage,BlueWinPercentage
Alex Pereira,Jamahal Hill,0.6738738738738739,0.524,0.09340662337662338,0.07870970119458837,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,True,Light Heavyweight,MALE,5,0,4,0,7.18,0.54,0.0,0.0,0.0,4,1,20,1,0,0,2,5,0,0,7,Southpaw,193.04,200.66,205,0,2,0,5.23,0.63,0.3,0.17,1.0,4,1,18,4,0,1,1,4,0,0,6,Orthodox,193.04,200.66,205,36,32,0,2,0,1,0,2,-3,1,0,0.0,0.0,-4,1.95,-0.3,-0.17,,1.0,0.0,,,,,,0.0,,,,,,,4.0,,,,,,1.0,,,,,,,,Red,KO/TKO,Punch,1.0,3:14,194.0,0.3661971830985916,0.265625,0.47070506454816285,0.4391052195526098,0.20465116279069767,0.13793103448275862,194.0,194.0,True,False,inf,0.0
Zhang Weili,Yan Xiaonan,0.5567567567567567,0.6200000000000001,0.022049350649350652,0.2645161480124865,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,FEMALE,5,0,2,0,4.97,0.44,0.0,1.0,0.73,6,2,29,0,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,0,3,0,5.66,0.53,0.5,2.51,0.46,5,2,28,6,0,1,3,2,2,0,8,Switch,162.56,160.02,115,34,34,0,-1,1,0,0,1,-6,-1,-2,2.54,0.0,0,-0.69,-0.5,-1.51,,1.0,0.0,,,0.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,10.0,Red,U-DEC,Unknown,5.0,5:00,1500.0,0.22535211267605637,0.171875,0.1529294935451837,0.3728251864125932,0.21395348837209302,0.23132183908045978,300.0,1500.0,True,False,inf,0.0
Justin Gaethje,Max Holloway,0.654054054054054,0.5416000000000001,0.06370662337662338,0.11277421644453635,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,7.17,0.48,0.3,0.25,0.53,13,7,93,9,0,1,8,10,2,0,21,Orthodox,180.34,175.26,145,0,2,0,6.78,0.59,0.0,0.11,0.25,4,4,28,2,1,0,1,6,0,0,8,Orthodox,180.34,177.8,155,35,32,0,0,9,13,3,65,7,4,2,0.0,-2.54,-3,0.39,0.3,0.14,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,14.0,Red,KO/TKO,Punch,5.0,4:59,1499.0,0.2605633802816902,0.140625,0.5104270109235353,0.47224523612261804,0.21705426356589147,0.2385057471264368,299.0,1499.0,False,True,0.0,inf
Charles Oliveira,Arman Tsarukyan,0.7891891891891891,0.39280000000000004,0.24025974025974026,0.02906190892743461,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,3.79,0.48,0.0,3.25,0.37,5,2,27,0,0,0,4,4,0,0,8,Orthodox,170.18,182.88,155,0,1,0,3.39,0.53,2.8,2.17,0.4,11,9,60,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,34,27,0,2,-6,-14,-7,-33,-3,0,-16,-7.62,-5.08,-7,0.4,-2.8,1.08,,4.0,1.0,,,,,,,,,1.0,,,,7.0,,,,,,,,,4.0,,,,,Red,S-DEC,Unknown,3.0,5:00,900.0,0.471830985915493,0.16562500000000002,0.1628599801390268,0.3231151615575808,0.34108527131782945,0.11781609195402298,300.0,900.0,False,True,0.0,inf
Bo Nickal,Cody Brundage,0.14414414414414412,0.8400000000000001,0.0016233766233766222,0.6903225886368365,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,2,0,1.62,0.54,0.9,2.31,0.5,2,5,14,0,0,0,0,2,1,0,4,Orthodox,182.88,182.88,185,0,4,0,1.64,0.62,7.5,7.46,0.5,4,0,4,0,0,0,0,1,3,0,4,Southpaw,185.42,193.04,185,28,29,0,-2,-2,0,5,10,0,1,-2,-2.54,-10.16,1,-0.02,-6.6,-5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:38,518.0,0.5070422535211268,1.0,0.04667328699106256,0.7042253521126761,0.21705426356589147,0.4827586206896552,218.0,518.0,True,False,inf,0.0
Jiri Prochazka,Aleksandar Rakic,0.7585585585585586,0.43000000000000005,0.12987012987012986,0.05548389534235109,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,4.26,0.5,0.1,0.76,0.25,4,2,20,0,0,0,4,2,0,0,6,Orthodox,193.04,198.12,205,1,0,0,5.38,0.55,0.2,0.72,0.6,3,1,11,3,0,0,0,2,1,0,3,Orthodox,190.5,203.2,205,31,32,0,0,1,3,1,9,-3,0,-1,2.54,-5.08,1,-1.12,-0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,3:17,497.0,0.3838028169014085,0.1484375,0.3118172790466733,0.5053852526926264,0.22170542635658916,0.14511494252873564,197.0,497.0,True,False,inf,0.0
Calvin Kattar,Aljamain Sterling,0.7762162162162162,0.406,0.19350649350649352,0.03539674747363233,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,1,0,0,4.61,0.52,0.7,2.31,0.27,9,4,54,5,0,2,6,2,4,0,15,Orthodox,170.18,180.34,145,2,0,0,4.76,0.39,0.1,0.39,0.29,2,5,38,0,0,0,3,4,0,0,7,Orthodox,180.34,182.88,145,36,34,-1,0,7,8,-1,16,5,-2,4,-10.16,-2.54,-2,-0.15,0.6,1.92,,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,2.0,,15.0,Red,U-DEC,Unknown,3.0,5:00,900.0,0.24295774647887325,0.10625000000000001,0.22244289970208542,0.2651201325600663,0.30077519379844964,0.3103448275862069,300.0,900.0,False,True,0.0,inf
Holly Holm,Kayla Harrison,0.8468468468468469,0.29800000000000004,0.44805194805194803,0.010563638437067396,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,7.52,0.71,2.2,4.42,0.4,0,0,0,0,0,0,0,0,0,0,0,Southpaw,172.72,167.64,135,0,1,0,3.13,0.4,0.1,0.87,0.3,3,6,53,5,0,1,5,2,0,0,8,Southpaw,172.72,175.26,135,42,33,0,-1,-3,-8,-6,-53,-5,-2,0,0.0,-7.62,-9,4.39,2.1,3.55,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2.0,1:47,407.0,0.3661971830985916,0.10625000000000001,0.7686196623634558,0.24440762220381113,0.48062015503875966,0.1810344827586207,107.0,407.0,False,True,0.0,inf
Sodiq Yusuff,Diego Lopes,0.7639639639639639,0.4232,0.14935064935064934,0.04806905682402434,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,2,0,3.24,0.55,3.7,0.33,0.25,2,2,8,0,0,0,0,1,1,0,2,Orthodox,180.34,182.88,145,1,0,0,5.66,0.49,0.4,0.28,0.2,5,2,23,0,0,0,4,2,1,0,7,Orthodox,175.26,180.34,145,30,29,-1,2,-3,-5,0,-15,0,-1,0,5.08,2.54,-1,-2.42,3.3,0.05,,,13.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1.0,1:29,89.0,0.25176056338028174,0.234375,0.3515392254220457,0.25683512841756423,0.29457364341085274,0.15229885057471265,89.0,89.0,False,True,0.0,inf
Jalin Turner,Renato Moicano,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2024-04-13,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,4.38,0.48,0.6,1.89,0.45,3,5,33,0,0,2,2,0,6,0,10,Orthodox,180.34,182.88,155,0,1,0,5.6,0.48,1.1,0.79,0.55,5,4,21,0,0,0,0,5,3,0,8,Southpaw,190.5,195.58,155,28,34,0,1,-2,2,1,12,0,-5,3,-10.16,-12.7,6,-1.22,-0.5,1.1,,13.0,10.0,,,,,,,,,10.0,,,,,,,,,,,,,13.0,,,,,Red,KO/TKO,Punches,2.0,4:11,551.0,0.24295774647887325,0.171875,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,251.0,551.0,False,True,0.0,inf
